ID dzialki	vertex_index	x	y
140903_5.0007.208/8	7	21.63166750890394	51.189776567696846
140903_5.0007.208/7	0	21.63178829886934	51.18941436110348
140903_5.0007.208/7	1	21.63181026715666	51.1893470915176
140903_5.0007.208/7	2	21.631657128190035	51.18934162575623
140903_5.0007.208/7	3	21.63162984088445	51.18941746397516
140903_5.0007.208/7	4	21.63178829886934	51.18941436110348
140903_5.0007.208/6	0	21.632150662941797	51.19029381638789
140903_5.0007.208/6	1	21.63248209306574	51.189393263192194
140903_5.0007.208/6	2	21.63230833832259	51.189365705856055
140903_5.0007.208/6	3	21.632139319323112	51.18936014675404
140903_5.0007.208/6	4	21.632124133372916	51.18940032160851
140903_5.0007.208/6	5	21.63199848269207	51.189731181738146
140903_5.0007.208/6	6	21.631902980809944	51.189986367777976
140903_5.0007.208/6	7	21.63180615808086	51.190249651335265
140903_5.0007.208/6	8	21.631802019208973	51.19026082056253
140903_5.0007.208/6	9	21.632150662941797	51.19029381638789
140903_5.0007.208/5	0	21.63249009408989	51.18937164533459
140903_5.0007.208/5	1	21.63230833832259	51.189365705856055
140903_5.0007.208/5	2	21.63248209306574	51.189393263192194
140903_5.0007.208/5	3	21.63249009408989	51.18937164533459
140903_5.0007.208/10	0	21.63199848269207	51.189731181738146
140903_5.0007.208/10	1	21.632124133372916	51.18940032160851
140903_5.0007.208/10	2	21.63178829886934	51.18941436110348
140903_5.0007.208/10	3	21.631688607740163	51.189718921510476
140903_5.0007.208/10	4	21.63166750890394	51.189776567696846
140903_5.0007.208/10	5	21.631656062875344	51.189807822771755
140903_5.0007.208/10	6	21.631503799541616	51.190232855316346
140903_5.0007.208/10	7	21.631802019208973	51.19026082056253
140903_5.0007.208/10	8	21.63180615808086	51.190249651335265
140903_5.0007.208/10	9	21.631902980809944	51.189986367777976
140903_5.0007.208/10	10	21.63199848269207	51.189731181738146
140903_5.0007.205/2	0	21.6333090229821	51.18932721267293
140903_5.0007.205/2	1	21.632155891291468	51.18928535514378
140903_5.0007.205/2	2	21.631595571663023	51.18926509852249
140903_5.0007.205/2	3	21.631593010670905	51.189287046530005
140903_5.0007.205/2	4	21.631379108872057	51.18929449357571
140903_5.0007.205/2	5	21.631381270668136	51.189337541228156
140903_5.0007.205/2	6	21.631401487229915	51.18934093800697
140903_5.0007.205/2	7	21.63143754931107	51.189341912020915
140903_5.0007.205/2	8	21.631657128190035	51.18934162575623
140903_5.0007.205/2	9	21.63181026715666	51.1893470915176
140903_5.0007.205/2	10	21.632139319323112	51.18936014675404
140903_5.0007.205/2	11	21.63230833832259	51.189365705856055
140903_5.0007.205/2	12	21.63249009408989	51.18937164533459
140903_5.0007.205/2	13	21.632716348944914	51.18937833274107
140903_5.0007.205/2	14	21.632943319062644	51.189385015840884
140903_5.0007.205/2	15	21.6329863938717	51.18938622112413
140903_5.0007.205/2	16	21.633219231176103	51.18939305173599
140903_5.0007.205/2	17	21.63335432522958	51.18939699503766
140903_5.0007.205/2	18	21.633696498404806	51.18940709825586
140903_5.0007.205/2	19	21.634095725002975	51.189405025256946
140903_5.0007.205/2	20	21.634176397310014	51.18941483597139
140903_5.0007.205/2	21	21.63431696415621	51.18943187305196
140903_5.0007.205/2	22	21.634358585304224	51.18944180544838
140903_5.0007.205/2	23	21.63439909423557	51.189454081109695
140903_5.0007.205/2	24	21.63453646671398	51.18949891255477
140903_5.0007.205/2	25	21.63488109221793	51.18978110875391
140903_5.0007.205/2	26	21.63520761921564	51.19004722123357
140903_5.0007.205/2	27	21.635244511459845	51.19007731528746
140903_5.0007.205/2	28	21.63526252421623	51.1900140218719
140903_5.0007.205/2	29	21.635225758987726	51.189982758509316
140903_5.0007.205/2	30	21.635026589584598	51.18981331034926
140903_5.0007.205/2	31	21.634797457729917	51.18961822477491
140903_5.0007.205/2	32	21.634543434785247	51.189402148604536
140903_5.0007.205/2	33	21.63452389351786	51.18938544436406
140903_5.0007.205/2	34	21.634340284901803	51.18933834654504
140903_5.0007.205/2	35	21.6333090229821	51.18932721267293
140903_5.0007.205/1	0	21.631593010670905	51.189287046530005
140903_5.0007.205/1	1	21.631595571663023	51.18926509852249
140903_5.0007.205/1	2	21.631517713735285	51.189262282586625
140903_5.0007.205/1	3	21.63128585150151	51.18923252031012
140903_5.0007.205/1	4	21.63112333681231	51.189179460514104
140903_5.0007.205/1	5	21.630905353046654	51.18929650973198
140903_5.0007.205/1	6	21.631008350495254	51.18927563822183
140903_5.0007.205/1	7	21.631381270668136	51.189337541228156
140903_5.0007.205/1	8	21.631379108872057	51.18929449357571
140903_5.0007.205/1	9	21.631593010670905	51.189287046530005
140903_5.0007.204/9	0	21.63134265766015	51.19021772376073
140903_5.0007.204/9	1	21.63162984088445	51.18941746397516
140903_5.0007.204/9	2	21.63140047661499	51.18942400569314
140903_5.0007.204/9	3	21.63105987059724	51.190177987867756
140903_5.0007.204/9	4	21.63134265766015	51.19021772376073
140903_5.0007.204/8	0	21.63162984088445	51.18941746397516
140903_5.0007.204/8	1	21.631657128190035	51.18934162575623
140903_5.0007.204/8	2	21.63143754931107	51.189341912020915
140903_5.0007.204/8	3	21.63140047661499	51.18942400569314
140903_5.0007.204/8	4	21.63162984088445	51.18941746397516
140903_5.0007.204/7	0	21.63105987059724	51.190177987867756
140903_5.0007.204/7	1	21.63140047661499	51.18942400569314
140903_5.0007.204/7	2	21.631353100206248	51.18943253160996
140903_5.0007.204/7	3	21.631268347241875	51.189438112872615
140903_5.0007.204/7	4	21.631251054086263	51.18943928490242
140903_5.0007.204/7	5	21.631027127549626	51.18948786703108
140903_5.0007.204/7	6	21.630720373871544	51.189808915044765
140903_5.0007.204/7	7	21.630729724683448	51.189844193051826
